"x_3","x_2","x_1","cues","s","u",
0.82725,1.5629,0.37845,1,0.82677,0,
0.79535,1.8161,0.34688,1,0.8601,0,
0.76123,1.6401,0.36887,0,0.83755,1,
0.81414,1.6159,0.37187,1,0.83423,1,
0.93799,1.4031,0.22705,0,0.80267,0,
0.85279,1.2027,0.26052,0,0.769,0,
0.81234,1.2576,0.25105,1,0.77862,1,
0.75537,1.0845,0.28159,0,0.74735,0,
0.70294,1.2284,0.25605,0,0.77355,0,
0.73828,1.4779,0.21534,0,0.81425,0,
0.72563,1.6625,0.18826,1,0.84058,1,
0.69393,1.7941,0.17059,0,0.85743,0,
0.67016,1.7338,0.17851,1,0.8499,1,
0.72397,1.6444,0.1908,1,0.83813,1,
0.6955,1.5152,0.20965,0,0.81983,0,
0.62331,1.6989,0.18324,0,0.84539,0,
0.57902,1.6439,0.19086,0,0.83807,0,
0.53004,1.667,0.18764,1,0.84118,1,
0.58999,1.3907,0.22903,0,0.80071,0,
0.54014,1.4567,0.21861,0,0.81103,0,
0.56733,1.1804,0.26443,1,0.76501,1,
0.6027,1.0342,0.29085,1,0.73773,1,
0.6247,0.6321,0.36968,0,0.65297,0,
0.65788,0.75403,0.345,1,0.68006,0,
0.67647,0.40622,0.4164,1,0.60018,0,
0.6477,0.42448,0.41259,0,0.60456,0,
0.57117,0.38392,0.42104,1,0.59482,1,
0.67644,0.45812,0.40559,0,0.61257,0,
0.6432,0.71111,0.62461,1,0.67065,1,
0.71611,0.97267,0.65839,0,0.72565,1,
0.74386,1.1972,0.68137,0,0.76803,0,
0.71739,1.2044,0.68202,1,0.76931,0,
0.70857,1.3699,0.69529,1,0.79737,1,
0.73902,1.199,0.68153,0,0.76835,1,
0.71362,0.9071,0.65063,0,0.71241,0,
0.65597,0.97742,0.65894,0,0.7266,1,
0.65242,0.79254,0.63593,0,0.68838,1,
0.62982,0.72722,0.62691,0,0.67419,1,
0.6141,1.0736,0.66942,0,0.74528,0,
0.59215,1.1946,0.68113,1,0.76756,0,
0.59793,1.2547,0.68636,0,0.77811,1,
0.5768,1.3901,0.69671,0,0.80061,1,
0.51931,1.5597,0.70698,1,0.82632,0,
0.4475,1.527,0.70522,1,0.82156,1,
0.4797,1.3397,0.69308,0,0.79244,1,
0.43209,1.3449,0.69347,0,0.79329,0,
0.4036,1.3385,0.693,1,0.79225,1,
0.38489,1.2287,0.68415,1,0.7736,0,
0.38356,1.2488,0.68586,0,0.77709,1,
0.44644,1.4972,0.70353,0,0.81715,0,
0.45683,1.5965,0.70883,1,0.83153,1,
0.3908,1.5721,0.70762,1,0.82809,1,

